Tags,Question,Answer,Source,Explanation,Expiration
"domestic policy, healthcare",Health care costs are the leading cause of personal bankruptcy in America.,Fact,https://ajph.aphapublications.org/doi/10.2105/AJPH.2018.304901?eType=EmailBlastContent&eId=a5697b7e-8ffc-4373-b9d2-3eb745d9debb&=&,2/3 of all personal bankrupcies are related to medical issues. The average American spends $5k on health care each year. ,
"domestic policy, education",38 states have made it illegal for public school teachers to go on strike. ,Fact,https://cepr.net/documents/state-public-cb-2014-03.pdf,Collective bargaining/wage negotiation though is only illegal in 4 states. ,
"domestic policy, education","Over 40 million Americans are currently paying off student loans, with an average balance of $40,000.",Fact,https://educationdata.org/student-loan-debt-statistics,"In 2006, the total student loan debt was less than $500 billion. Today it is $1.6 trillion.",
"domestic policy, employment",Employment programs are proven to be the most effective solution to homelessness.,Fiction,https://www.coalitionforthehomeless.org/proven-solutions/,"Research shows that ""housing first"", or providing reliable, permanent housing, is the most effective and cheap way to reduce the country's more than 550,000 homeless population.",
"domestic policy, spending",The majority of food stamp recipients are working aged adults.,Fiction,https://www.census.gov/library/stories/2020/07/most-families-that-received-snap-benefits-in-2018-had-at-least-one-person-working.html,"Only 1/3 of food stamp recipients are working aged adults. The majority are children, elderly, and the disabled. Every dollar spent on SNAP spurs $1.79 in economic activity.",
"domestic policy, healthcare ",A Republican-backed study found that Medicare for All would save American taxpayers over $2 trillion over 10 years.,Fact,https://www.citizen.org/news/fact-check-medicare-for-all-would-save-the-u-s-trillions-public-option-would-leave-millions-uninsured-not-garner-savings/,"Medicare for all would save about 70,000 lives each year and reduce US health care spending by 13%, or $450 billion each year, according to a recent Yale study. Every developed country has this at substantially lower costs than U.S.",
"spending, infrastructure",Federal spending on defense is proven to be the most cost-effective unemployment solution.,Fiction,https://www.thebalance.com/unemployment-solutions-3306211,Federal spending on public works creates more than double the number of jobs as defense spending,
"war, government ",The Constitution grants the president the ability to declare war.,Fiction,"https://www.house.gov/the-house-explained/branches-of-government#:~:text=The%20legislative%20branch%20is%20made,controls%20taxing%20and%20spending%20policies.",Congress has the ability to declare war but has not officially done so since 1943.,
"jobs, domestic policy","25% of all jobs in America are at ""high risk"" of being automated by 2030.",Fact,https://www.brookings.edu/research/automation-and-artificial-intelligence-how-machines-affect-people-and-places/,The same Brookings study projects that 80% of jobs with hourly wages under $20 will be automated by 2030.,
"infrastructure, spending",The US spends considerably less of its GDP on infrastructure compared to other developed countries.  ,Fact,https://www.statista.com/statistics/566787/average-yearly-expenditure-on-economic-infrastructure-as-percent-of-gdp-worldwide-by-country/,The US only spends about 2% on infrastructure while the average European country spends 5% and China 8%.,
"demographics, terrorism",The majority of domestic terror attacks and extremist groups currently operating in America are associated with white supremacy.,Fact,https://www.splcenter.org/news/2018/02/21/year-hate-trump-buoyed-white-supremacists-2017-sparking-backlash-among-black-nationalist#.Wo4UQrTcGtg.twitter,"Of the more than 900 domestic terror groups operating in the US in 2017,  approximately 600 were associated with white supremacy. ",
"2020 election, demographics",African americans were the largest minority group eligible to vote in the 2020 election.,Fiction,https://www.pewresearch.org/social-trends/2019/01/30/an-early-look-at-the-2020-electorate-2/,"For the first time, hispanics made up the largest non-white voting block in 2020, with 32 million hispanics (13% of the voting population) eligible to vote in 2020, compared to 30 million African Americans and 11 million Asians. ",
"demographics, immigration",Undocumented immigrants make more than 10% of America’s population.,Fiction,https://www.brookings.edu/policy2020/votervital/how-many-undocumented-immigrants-are-in-the-united-states-and-who-are-they/,"Estimates of undocumented immigrants currently living in America range from 10 to 12 million, or about 4% of the total population.",
"border security, immigration",Total apprehensions at the US-Mexico border since 2000 have been increasing. ,Fiction,https://www.pewresearch.org/fact-tank/2020/11/04/after-surging-in-2019-migrant-apprehensions-at-u-s-mexico-border-fell-sharply-in-fiscal-2020-2/,"In 2000, there were 1.6 million apprehensions, compared to 400,000 in 2020. 2019 and 2020 have seen spikes, but the overall trend is downwards.",
immigration,More Americans have died eating dish detergent than have been killed by refugees in the last 50 years.,Fact,https://www.politifact.com/factchecks/2017/feb/01/ted-lieu/odds-youll-be-killed-terror-attack-america-refugee/,"3 Americans have been killed by refugees (not individuals seeking asylum), compared to 8 by eating Tide pods.",
"demographics, hate crimes",The deadliest attack on American Jews in our country's history happened in the last 5 years.,Fact,https://www.reuters.com/article/us-usa-antisemitism/watchdog-reports-record-number-of-anti-semitic-incidents-in-u-s-last-year-idUSKBN22O1LK,"In 2018, 11 Jews were killed at a Pittsburgh Synagogue by a white supremacist. ",
"demographics, immigration",Hispanics are the fastest growing racial or ethnic group in America today.,Fiction,https://www.pewresearch.org/fact-tank/2021/04/09/asian-americans-are-the-fastest-growing-racial-or-ethnic-group-in-the-u-s/,"Over the last 20 years, the number of Asian Americans has increased by 81%  compared to 70% for Hispanics. ",
immigration,The majority of Democrats support an “open borders” policy.,Fiction,https://www.npr.org/2018/01/23/580037717/what-the-latest-immigration-polls-do-and-dont-say,32% of Democrats support open borders. 80% of Americans support having a secure border,
"immigration, taxes ",Immigrants on average pay less in taxes than they receive in benefits.,Fiction,https://www.americanprogress.org/issues/immigration/news/2013/02/08/52377/immigrants-are-makers-not-takers/,Immigrants are also less likely to be incarcerated than U.S. citizens,
party ID,Less than 20% of Americans identify as politically independent. ,Fiction,https://www.pewresearch.org/fact-tank/2019/05/15/facts-about-us-political-independents/,"Nearly 40% of Americans identify as independent, although the vast majority of these lean Democrat or Republican. ",
"Trump, U.S. Presidents, elections",Donald Trump was the second president in the last 100 years to have been elected president despite losing the popular vote. ,Fact,https://en.wikipedia.org/wiki/List_of_United_States_presidential_elections_in_which_the_winner_lost_the_popular_vote,"In 2016, Trump lost the popular vote to Hillary Clinton by over 3 million votes but won the Electoral College vote. George Bush lost the popular vote to Al Gore in 2000.",
"U.S. Presidents, taxes",A Republican president signed the largest combined tax cuts in U.S. history.,Fiction,https://www.washingtonpost.com/politics/2018/live-updates/trump-white-house/fact-checking-and-analysis-of-trumps-state-of-the-union-2018-address/fact-check-biggest-tax-cut-in-u-s-history/,"President Obama made permanent the Bush tax cuts in 2010 and 2013, which combined was larger overall than Reagan's 1981 tax cuts.",
U.S. Presidents,"A Democratic president signed the Budget Control Act, which set strict spending caps enforced with automatic spending cuts.",Fact,https://en.wikipedia.org/wiki/Budget_Control_Act_of_2011,"The bill was signed in 2011 by President Obama and it also included the creation of a bipartian defecit reduction ""super committee."" ",
"U.S. Presidents, Trump",Donald Trump's original cabinet members had the highest combined net worth of any presidential cabinet. ,Fact,https://www.forbes.com/sites/michelatindera/2019/07/25/the-definitive-net-worth-of-donald-trumps-cabinet/?sh=5f5782036a15,"The combined net worth of Trump's cabinet was $2.3 billion, or 35X higher than Obama’s",
"U.S. Presidents, election, Trump",Donald Trump received more votes than both Hillary Clinton in 2016 and Joe Biden in 2020. ,Fiction,https://en.wikipedia.org/wiki/List_of_United_States_presidential_elections_by_popular_vote_margin,"While Trump won the electoral vote in 2016, Clinton won the popular vote by nearly 3 million votes. In 2020, Biden received over 7 million more votes than Trump.",
"U.S. Presidents, party ID",Both GDP growth and job creation have historically been stronger under Republican administrations. ,Fiction,"https://en.wikipedia.org/wiki/U.S._economic_performance_under_Democratic_and_Republican_presidents#:~:text=Historically%2C%20the%20United%20States%20economy,presidents%20since%20World%20War%20II.&text=The%20unemployment%20rate%20has%20fallen,on%20average%20under%20Republican%20presidents.","Since WWII, Democratic presidents have seen 24.4 million more jobs created and GDP growth 44% higher than under Republican presidents.",
"U.S. Presidents, party ID","In the last 40 years, the federal deficit has decreased under every Democratic administration.",Fact,https://www.politifact.com/factchecks/2019/jul/29/tweets/republican-presidents-democrats-contribute-deficit/,"The deficit in the last 40 years has increased under every Republican administration, and every Republican president since Teddy Roosevelt has presided over a recession.",
"the environment, healthcare",Air pollution is one of the leading causes of premature death in the world. ,Fact,https://www.who.int/health-topics/air-pollution#tab=tab_2,"Approximately 8 million deaths worldwide each year are attributed to indoor and outdoor air pollution due to strokes, lung cancer, and heart disease. 90% of the world population lives in areas with poor air quality, mostly in the developing world. ",
